Date_S&P500,S&P500,Bond_Rate
2019-12-20,3221.22,1.528
2019-12-19,3205.37,1.533
2019-12-18,3191.14,1.518
2019-12-17,3192.52,1.53
2019-12-16,3191.45,1.525
2019-12-13,3168.8,1.523
2019-12-12,3168.57,1.53
2019-12-11,3141.63,1.52
2019-12-10,3132.52,1.515
2019-12-09,3135.96,1.498
2019-12-06,3145.91,1.48
2019-12-05,3117.43,1.493
2019-12-04,3112.76,1.498
2019-12-03,3093.2,1.538
2019-12-02,3113.87,1.538
2019-11-29,3140.98,1.54
2019-11-27,3153.63,1.565
2019-11-26,3140.52,1.565
2019-11-25,3133.64,1.545
2019-11-22,3110.29,1.543
2019-11-21,3103.54,1.53
2019-11-20,3108.46,1.52
2019-11-19,3120.18,1.525
2019-11-18,3122.03,1.523
2019-11-15,3120.46,1.528
2019-11-14,3096.63,1.528
2019-11-13,3094.04,1.535
2019-11-12,3091.84,1.533
2019-11-11,3087.01,1.513
2019-11-08,3093.08,1.51
2019-11-07,3085.18,1.518
2019-11-06,3076.78,1.515
2019-11-05,3074.62,1.518
2019-11-04,3078.27,1.503
2019-11-01,3066.91,1.485
2019-10-31,3037.56,1.498
2019-10-30,3046.77,1.595
2019-10-29,3036.89,1.595
2019-10-28,3039.42,1.605
2019-10-25,3022.55,1.625
2019-10-24,3010.29,1.623
2019-10-23,3004.52,1.615
2019-10-22,2995.99,1.615
2019-10-21,3006.72,1.625
2019-10-18,2986.2,1.625
2019-10-17,2997.95,1.625
2019-10-16,2989.69,1.615
2019-10-15,2995.68,1.618
2019-10-14,2966.15,1.618
2019-10-11,2970.27,1.623
2019-10-10,2938.13,1.633
2019-10-09,2919.4,1.628
2019-10-08,2893.06,1.655
2019-10-07,2938.79,1.673
2019-10-04,2952.01,1.655
2019-10-03,2910.63,1.665
2019-10-02,2887.61,1.735
2019-10-01,2940.25,1.753
2019-09-30,2976.74,1.77
2019-09-27,2961.79,1.73
2019-09-26,2977.62,1.77
2019-09-25,2984.87,1.845
2019-09-24,2966.6,1.88
2019-09-23,2991.78,1.845
2019-09-20,2992.07,1.85
2019-09-19,3006.79,1.883
2019-09-18,3006.73,1.88
2019-09-17,3005.7,1.938
2019-09-16,2997.96,1.945
2019-09-13,3007.39,1.9
2019-09-12,3009.57,1.895
2019-09-11,3000.93,1.913
2019-09-10,2979.39,1.913
2019-09-09,2978.43,1.908
2019-09-06,2978.71,1.91
2019-09-05,2976.0,1.92
2019-09-04,2937.78,1.905
2019-09-03,2906.27,1.91
2019-08-30,2926.46,1.933
2019-08-29,2924.58,1.94
2019-08-28,2887.94,1.94
2019-08-27,2869.16,1.943
2019-08-26,2878.38,1.933
2019-08-23,2847.11,1.91
2019-08-22,2922.95,1.938
2019-08-21,2924.43,1.928
2019-08-20,2900.51,1.9
2019-08-19,2923.65,1.853
2019-08-16,2888.68,1.823
2019-08-15,2847.6,1.843
2019-08-14,2840.6,1.908
2019-08-13,2926.32,1.955
2019-08-12,2882.7,1.928
2019-08-09,2918.65,1.95
2019-08-08,2938.09,1.97
2019-08-07,2883.98,1.968
2019-08-06,2881.77,1.995
2019-08-05,2844.74,1.953
2019-08-02,2932.05,2.0
2019-08-01,2953.56,2.03
2019-07-31,2980.38,2.03
2019-07-30,3013.18,2.04
2019-07-29,3020.97,2.05
